ID,Canonical Name,Aliases
S01843,Troy St.,"Troy State, Troy St, Troy, "
S01844,Truman State,"Truman, Truman St., Truman St, "
S01845,Tufts,
S01846,Tulane Alumni,
S01847,Tulane,
S01848,Tulsa,
S01849,Tusculum,
S01850,Tuskegee,
S01851,Twin Cities High,"Twin Cities Central High, "
S01852,Univ Sciences,"U. Sciences Phil., University of the Sciences in Philadelphia, University of the Sciences, Sciences in Philadelphia, UNIV. OF THE SCIENCES, Univ. of Sciences, Philadelphia Sciences, University of Sciences, USciences, "
S01853,U.S. Amphibians,
S01854,U.S. Marines,
S01855,U.S. Sub Base,
S01856,U.S.International,
S01857,UAY All-Stars,
S01858,UC Davis,"Cal Davis, UC-Davis, Cal-Davis, California-Davis, "
S01859,UC Irvine,"California-Irvine, Cal Irvine, "
S01860,UC San Diego,"California-San Diego, UCSD, Cal San Diego, California-San Diego, "
S01861,UCLA,"U-C-L-A, "
S01862,UMadison High,
S01863,UNC Asheville,"NC Asheville, North Carolina-Asheville, "
S01864,UNC Greensboro,"NC Greensboro, North Carolina-Greensboro, "
S01865,UNC Pembroke,"North Carolina-Pembroke, NC Pembroke, "
S01866,UNC Wilmington,"NC Wilmington, Wilmington (NC), UNC-Wilmington, North Carolina-Wilmington, "
S01867,US Recup. Company,
S01868,USC Alumni,"Southern California Alumni, "
S01869,USS Boston,
S01870,USS Franklin,
S01871,USS Idaho,
S01872,USS Maryland,
S01873,USS Mercy,
S01874,USS Minnesota,
S01875,USS Mississippi,
S01876,USS New Mexico,
S01877,USS New York,
S01878,USS Oklahoma,
S01879,USS Tennessee,
S01880,USS Utah,
S01881,Union (Kentucky),"Union, Ky., Union (Ky.), Union (KY), Union KY, Union Commonwealth Ky, "
S01882,Union (New York),"Union, N.Y., Union (NY), Union, NY, Union NY, "
S01883,Union (Tennessee),"Union (TN), Union (Tenn.), Union College, Union, "
S01884,Union (Nebraska),"Union College (NE), "
S01885,Unity,"Unity College, "
S01886,Univ. of Mexico,"University of Mexico, "
S01887,Unknown NAS,
S01888,Unknown Team,"Unknown, "
S01889,Upper Iowa,
S01890,Upsala,
S01891,Urbana,"IL Urbana, "
S01892,Ursinus,
S01893,Utah Alumni,
S01894,Utah Field Artil,"Utah Field Artillery, "
S01895,Utah St.,"Utah State, Utah St, "
S01896,Utah State Alumni,
S01897,Utah,
S01898,Utica,"Utica College, "
S01899,VA Commonwealth,"Virginia Commonwealth, VCU, Virginia Common., "
S01900,VA Intermont,"Virginia Intermont, "
S01901,VA Tech Alumni,"Virginia Tech Alumni, "
S01902,VMI,"Virginia Military, VA Military, Virginia Military Institute, Virginia Military Inst, Va. Military Institute, Virginia Military In, "
S01903,Valdosta St.,"Valdosta St, Valdosta State, Valdost St., "
S01904,Valley City St.,"Valley City St, Valley City State, "
S01905,Valparaiso,
S01906,VancouverBarracks,
S01907,Vanderbilt Alumni,
S01908,Vanderbilt,
S01909,Vanguard,"Southern Californa College, Southern Cal College, Vanguard University, "
S01910,Vassar,
S01911,Vedado A.C.,
S01912,Vermont Tech,"Vermont Technical, "
S01913,Vermont,
S01914,Vicksburg A.C.,
S01915,Vigilant A.C.,
S01916,Villa Julie,
S01917,Villa Maria,"Villa Maria College, "
S01918,Villanova,
S01919,Vincennes,
S01920,Vineland,
S01921,Virgin Islands,"Virgin Island Univ., University of the Virgin Islands, Univ. of the Virgin, "
S01922,Virginia BoatClub,
S01923,Virginia Medical,
S01924,Virginia St.,"Virginia St, Virginia State, "
S01925,Virginia Tech,"VirginiaTech, Viginia Tech, Virginia Tch, "
S01926,Virginia Union,
S01927,Virginia Wesleyan,"VA Wesleyan, "
S01928,Virginia-Wise,"Clinch Valley, Clinch Vly, UVA-Wise, "
S01929,Virginia,
S01930,Viterbo,"Viterbo University, "
S01931,Volunteer A.C.,
S01932,Voorhees,"Voorhees (SC), Voorhees College, "
S01933,W. Carolina,"West Carolina, Westrn Carolina, Western Carolina, Wstn Carol, Western Car, Western Caro., "
S01934,W. Connecticut,"Western Connecticut, W. Connecticut St., Western Conn. St., W Connecticut, Western Connecticut State, WestConn, "
S01935,W. Illinois,"Western Illinois, Western IL, Western Ill, "
S01936,W. Kentucky,"Western Kentucky, Western KY, Western Kentucky Teachers, WKU, "
S01937,McDaniel,"W. Maryland, Western Maryland, West Maryland, W Maryland, McDaniel College, McDaniel Col, "
S01938,W. Michigan,"Western Michigan, Western Mich, "
S01939,MT Western,"W. Montana, Western Montana, Wstn Montana, West Montana, Montana-Western, University of Montana Western, Montana Western MT, "
S01940,W. New England,"Western New England, West. New England, W New England, Western New Eng, "
S01941,W. New Mexico,"Western New Mexico, West. New Mexico, W New Mexico, New Mexico Western, Western N.M., "
S01942,W. Oregon,"Western Oregon State, Western Oregon, Western Ore., "
S01943,W. Texas A&M,"West Texas A&M, West Texas State, West Texas St, West Tex. A&M, "
S01944,W. Texas Military,"West Texas Military, "
S01945,W. Va. Weslyn,"W. Vir. Wesleyan, West Virginia Wesleyan, West Va. Wesleyan, W Va Wesleyan, WV Wesleyan, West Virgnia Wesleyan, "
S01946,W. Virginia Coll,"College of West Virginia, West Virginia College, College of W. Virginia, "
S01947,W. Virginia St.,"W. Virginia St, West Virginia State, Wst VA St, West Virginia St., W Virginia St, West Virginia St, WV State, "
S01948,W. Virginia Tech,"West Virginia Tech, West Va. Tech, W Virginia Tech, WV Tech, WVU-Tech, "
S01949,W. Washington,"West. Washington, W Washington, Western Washington, Western Wash., "
S01950,Wabash,
S01951,Waco Field,
S01952,Wagner,
S01953,Wake Forest Frosh,"Wake Forest Freshmen, "
S01954,Wake Forest,
S01955,Walla Walla,"Walla Walla University, "
S01956,Walsh OH,"Walsh, Walsh (Ohio), "
S01957,Warner Pacific,"Warner Pacifc, "
S01958,Warner,"Warner Southern, Warner U., Warner FL, "
S01959,Warren Wilson,"Warren Wilson College, "
S01960,Warrensburg,
S01961,Warrenton Prep.,"Warrenton Preparatory, "
S01962,Wartburg,
S01963,Wash. & Jeff.,"Wash & Jeff, Washington & Jefferson, Washington and Jefferson, "
S01964,Wash. Artillery,"Washington Artillery, "
S01965,Washburn,
S01966,Washington & Lee,"Wash & Lee, Washington and Lee, "
S01967,Washington (MD),"Washington, MD, Washington (Maryland), Washington College, Washington Coll., "
S01968,Washington Bible,"Washington Bib, Washington Bible College, "
S01969,Washington St.,"Washington State, Washington St, Washingtn St, "
S01970,Washington StL,"Washington, MO, Washington (Missouri), Washington-St. Louis, WUStL, Washington U., Washington-Saint Louis, WashU, "
S01971,Washington YMCA,
S01972,Washington,
S01973,Waterton,
S01974,Watertown,
S01975,Wayland,"Wayland Baptist, Wayland Baptist TX, "
S01976,Wayne State (MI),"Wayne, Mich., Wayne State, Wayne St., Wayne State (Mich.), Wayne St. (Mich.), Wayne, MI, Wayne MI, Wayne St., Mich., WayneSt(MI), "
S01977,Wayne State (NE),"Wayne, Neb., Wayne State (Neb.), Wayne State-NE, Wayne St. (Neb.), Wayne, NE, Wayne NE, Wayne St., Neb., WayneSt(NE), Wayne St NB, "
S01978,Waynesburg,
S01979,Webber Intl,"Webber College, Webber (FL), Webber, Webber International, Webber International FL, "
S01980,Weber St.,"Weber State, Weber St, "
S01981,Webster,"Webster Univ, "
S01982,Welch Neck High,
S01983,Wells,
S01984,Wendell Phillips,
S01985,Wentworth Tech,"Wentworth Inst., Wentworth Institute, Wentworth, "
S01986,Wesleyan,"Wesleyan (CT), Wesleyan, Conn., "
S01987,Wesley,"Wesley (Del.), Wesley DE, "
S01988,West Alabama,"West Ala., "
S01989,West Chester,"West Chester State, WestChester(PA), West Chester St, West Chester University, "
S01990,West Coast Army,
S01991,West Coast Navy,
S01992,West Denver High,
S01993,West End Amateurs,
S01994,West Florida,"Western Florida, West Fla., "
S01995,West Georgia,"West Ga., "
S01996,West Liberty,"West Liberty State, West Liberty St., W. Liberty, "
S01997,West Logan High,
S01998,West Point A.C.,
S01999,West Seattle A.C.,
S02000,West Seattle Agri,"West Seattle Agricultural, "
S02001,West Virginia,"Wst Virginia, "
S02002,Western Reserve,
S02003,Western Colorado,"Western St.,Colo., Western State-CO, Western State, Western St., Western State(CO), Western St, CO, Western St CO, Western St., Colo., Western State Colorado, Western Colo., "
S02004,Westfield St.,"Westfield St, Westfield State, "
S02005,Westminster (MO),"Westminster, MO, Westminster MO, Westminster, Mo., Westminster (Missouri), "
S02006,Westminster (PA),"Westminster, Pa., Westminster PA, Westminster (Pennsylvania), "
S02007,Westminster (UT),"Westminster (Utah), Westminster Salt Lake City, Westminster SLC, Westminster, "
S02008,Westmont,"Westmont College, "
S02009,Wetumpka,
S02010,Wheaton (IL),"Wheaton (Ill.), Wheaton IL, Wheaton College, "
S02011,Wheaton (MA),"Wheaton (Mass.), Wheaton, "
S02012,Wheeling U.,"Wheeling Jesuit, Wheeling, "
S02013,White Sands,
S02014,White Squadron,
S02015,Whitman,
S02016,Whittier,"Whittier College, "
S02017,Whitworth,"Whitworth Alumni, "
S02018,Wichita State,"Wichita St, "
S02019,Widener,
S02020,Wilberforce,
S02021,Wiley,
S02022,Wilkes,
S02023,Willamette,"Williamette, "
S02024,William & Mary,"Wilm And Mry, William and Mary, Wm & Mary, "
S02025,William Carey,
S02026,William Jewell,"Wm Jewell, "
S02027,William Penn,"William Penn Iowa, "
S02028,Williams Baptist,"Williams Baptst, Williams Bap, "
S02029,Williams Field,
S02030,Williamsport,
S02031,Williams,"Williams (MA), "
S02032,Williston,
